intent,snippet
can i have a non-greedy regex with dotall?,"re.findall('a*?bc*?', 'aabcc', re.DOTALL)"
print list `t` into a table-like shape,"print('\n'.join('  '.join(map(str, row)) for row in t))"
duplicating some rows and changing some values in pandas,"pd.concat([good, new], axis=0, ignore_index=True)"
how does this function to remove duplicate characters from a string in python work?,print(' '.join(set(s)))
loading temporary dlls into python on win32,os.path.exists('./lib.dll')
bits list to integer in python,"int(''.join(str(i) for i in my_list), 2)"
creating a browse button with tkinter,root.mainloop()
how to use numpy's hstack?,"a[:, ([3, 4])]"
how to extract the n-th elements from a list of tuples in python?,"map(itemgetter(1), elements)"
how can i draw half circle in opencv?,"cv2.imwrite('half_circle_no_round.jpg', image)"
filter dict to contain only certain keys?,"foodict = {k: v for k, v in list(mydict.items()) if k.startswith('foo')}"
how do i run selenium in xvfb?,browser.quit()
can i export a python pandas dataframe to ms sql?,"wildcards = ','.join(['%s'] * len(frame.columns))"
how to keep index when using pandas merge,"a.reset_index().merge(b, how='left').set_index('index')"
django redirect to root from a view,"url('^$', 'Home.views.index'),"
how to convert 'binary string' to normal string in python3?,"""""""a string"""""".decode('ascii')"
delete every nth row or column in a matrix using python,"np.delete(a, list(range(0, a.shape[1], 8)), axis=1)"
what is the simplest way to create a shaped window in wxpython?,"self.Bind(wx.EVT_PAINT, self.OnPaint)"
print a big integer with punctions with python3 string formatting mini-language,"""""""{:,}"""""".format(x)"
convert list `myintegers` into a unicode string,""""""""""""".join(chr(i) for i in myintegers)"
get the indexes of the x and y axes in numpy array `np` where variable `a` is equal to variable `value`,"i, j = np.where(a == value)"
how to use python numpy.savetxt to write strings and float number to an ascii file?,"num.savetxt('test.txt', DAT, delimiter=' ', fmt='%s')"
python regex: get end digits from a string,"next(re.finditer('\\d+$', s)).group(0)"
convert a hex string `x` to string,"y = str(int(x, 16))"
how to convert a list into a pandas dataframe,df[col] = df[col].apply(lambda i: ''.join(i))
gradient calculation with python,np.cos(-1.5)
how to replace all non-numeric entries with nan in a pandas dataframe?,df[df.applymap(isnumber)]
convert dataframe column type from string to datetime,df['col'] = pd.to_datetime(df['col'])
multiple positional arguments with python and argparse,"parser.parse_args(['-a', '-b', 'fileone', 'filetwo', 'filethree'])"
how can i check if a string contains any letters from the alphabet?,"re.search('[a-zA-Z]', the_string)"
python: is it possible to attach a console into a running process,code.interact()
get norm of numpy sparse matrix rows,"n = np.sqrt(np.einsum('ij,ij->i', a, a))"
convert nested list 'cards' into a flat list,[a for c in Cards for b in c for a in b]
python: converting from iso-8859-1/latin1 to utf-8,u8.decode('utf-8') == v.decode('latin1') == u16.decode('utf-16')
missing data in pandas.crosstab,"pd.crosstab(a, [b, c], rownames=['a'], colnames=['b', 'c'], dropna=False)"
how do i modify a text file in python?,f.write('new line\n')
rename `last` row index label in dataframe `df` to `a`,df = df.rename(index={last: 'a'})
how to save xlsxwriter file in certain path?,workbook = xlsxwriter.Workbook('C:/Users/Steven/Documents/demo.xlsx')
"trim string "" hello """,' Hello '.strip()
how to set global const variables in python,GRAVITY = 9.8
create a list where each element is a dictionary with keys 'key1' and 'key2' and values corresponding to each value in the lists referenced by keys 'key1' and 'key2' in dictionary `d`,"[{'key1': a, 'key2': b} for a, b in zip(d['key1'], d['key2'])]"
convert datetime object to a string of date only in python,"'%s/%s/%s' % (dt.month, dt.day, dt.year)"
fabric sudo no password solution,env.password = 'yourpassword'
how to remove leading and trailing zeros in a string? python,your_string.strip('0')
how to properly use python's isinstance() to check if a variable is a number?,"isinstance(var, (int, float, complex))"
python pandas: drop a df column if condition,"dummy_df.loc[:, (~(dummy_df == '0%').all())]"
how do i extract all the values of a specific key from a list of dictionaries?,results = [item['value'] for item in test_data]
sum a list of numbers in python,sum(i for i in a)
how to change the dtype of a numpy recarray?,print(r.dtype)
"find all the rows in dataframe 'df2' that are also present in dataframe 'df1', for the columns 'a', 'b', 'c' and 'd'.","pd.merge(df1, df2, on=['A', 'B', 'C', 'D'], how='inner')"
sorting while preserving order in python,"sorted(enumerate(a), key=lambda x: x[1])"
"run the code contained in string ""print('hello')""","eval(""print('Hello')"")"
how do i return a json array with bottle?,"{'data': [{'id': 1, 'name': 'Test Item 1'}, {'id': 2, 'name': 'Test Item 2'}]}"
bool value of a list in python,return len(my_list)
easiest way to remove unicode representations from a string in python 3?,print(t.decode('unicode_escape'))
sort dates in python array,"sorted(timestamps, key=lambda d: map(int, d.split('-')))"
set time zone `europe/istanbul` in django,TIME_ZONE = 'Europe/Istanbul'
remove empty string from list,mylist = [i for i in mylist if i != '']
get the date object `date_of_manufacture` of object `car` in string  format '%y-%m-%d',{{car.date_of_manufacture.strftime('%Y-%m-%d')}}
how do i fix a valueerror: read of closed file exception?,fo.write(fp.read())
how do i autosize text in matplotlib python?,plt.tight_layout()
plotting a 2d heatmap with matplotlib,plt.show()
efficient loop over numpy array,"np.nonzero(np.any(a, axis=0))[0]"
how to find all terms in an expression in sympy,"sympify('1/(x+1)+4*x/(x-1)+3-4*x**2+10*x**2', evaluate=False).args"
strip non alpha numeric characters from string in python but keeping special characters,"re.sub('_', '', re.sub(pattern, '', x))"
sum the products of each two elements at the same index of list `a` and list `b`,"list(x * y for x, y in list(zip(a, b)))"
list of arguments with argparse,"parser.add_argument('-t', dest='table', help='', nargs='+')"
string formatting in python version earlier than 2.6,"'%(foo)s %(bar)d' % {'bar': 42, 'foo': 'spam', 'baz': None}"
delete items from list of list: pythonic way,my_list = [[x for x in sublist if x not in to_del] for sublist in my_list]
reading in integer from stdin in python,n = int(input())
replace all non-alphanumeric characters in a string,"re.sub('[^0-9a-zA-Z]+', '*', 'h^&ell`.,|o w]{+orld')"
python timedelta issue with negative values,"datetime.timedelta(-1, 86100).total_seconds()"
python: can a function return an array and a variable?,result = my_function()
convert a pandas dataframe to a dictionary,"{'p': [1, 3, 2], 'q': [4, 3, 2], 'r': [4, 0, 9]}"
how to rearrange pandas column sequence?,cols = list(df.columns.values)
how can i match the start and end in python's regex?,"re.match('(ftp|http)://.*\\.(jpg|png)$', s)"
split filenames with python,os.path.splitext(os.path.basename(f))
calcuate mean for selected rows for selected columns in pandas data frame,"df[['a', 'b', 'd']].iloc[[0, 1, 3]].mean(axis=0)"
sorting list by an attribute that can be none,my_list.sort(key=nonesorter)
how to add an html class to a django form's help_text?,field = models.TextField(help_text=mark_safe('some<br>html'))
python sum the values of lists of list,result = [sum(b) for b in a]
how to use post method in tornado?,"data = self.get_argument('data', 'No data received')"
how to replace back slash character with empty string in python,"result = string.replace('\\', '')"
function changes list values and not variable values in python,return [(x + 1) for x in y]
most efficient way to implement numpy.in1d for muliple arrays,"[np.nonzero(np.in1d(x, c))[0] for x in [a, b, d, c]]"
matplotlib problems plotting logged data and setting its x/y bounds,plt.axis('tight')
os.getcwd() for a different drive in windows,os.chdir('l:\\letter')
filtering elements from list of lists in python?,"[(x, y, z) for x, y, z in a if (x + y) ** z > 30]"
find the index of sub string 'g' in string `str`,str.find('g')
python: how do i display a timer in a terminal,time.sleep(1)
getting unique values from lists(containing tags) in dataframe row,df.genres.apply(pd.Series).stack().drop_duplicates().tolist()
python filter/remove urls from a list,list2 = [line for line in file if 'CONTENT_ITEM_ID' in line]
select multiple columns in pandas data frame with column index as sequential number,"df.iloc[:, (your_col_index)]"
add second axis to polar plot,plt.show()
replace non-ascii characters with a single space,"re.sub('[^\\x00-\\x7f]', ' ', n)"
how to reverse query objects for multiple levels in django?,Level4.objects.filter(level3__level2__level1=my_level1_object)
multiple assigments with a comma in python,"a = b, c = 'AB'"
how do i divide the members of a list by the corresponding members of another list in python?,"[(c / t) for c, t in zip(conversions, trials)]"
clamping floating numbers in python?,"max(min(my_value, max_value), min_value)"
getting unique indices of minimum values in multiple lists,"[0, 3, 1, 2]"
normalize columns of pandas data frame,df = df / df.max().astype(np.float64)
python comprehension loop for dictionary,sum(item['one'] for item in list(tadas.values()))
how do i vectorize this loop in numpy?,"np.ma.array(np.tile(arr, 2).reshape(2, 3), mask=~cond).argmax(axis=1)"
gets the `n` th-to-last element in list `some_list`,some_list[(- n)]
"from list of integers, get number closest to a given value","min(myList, key=lambda x: abs(x - myNumber))"
round number `value` up to `significantdigit` decimal places,"round(value, significantDigit)"
"concatenate strings in tuple `('a', 'b', 'c', 'd', 'g', 'x', 'r', 'e')` into a single string",""""""""""""".join(('a', 'b', 'c', 'd', 'g', 'x', 'r', 'e'))"
how to set first column to a constant value of an empty np.zeros numpy matrix?,"myArray = np.zeros((6, 6))"
python - delete blank lines of text at the end of the file,file_out[-1] = file_out[-1].strip('\n')
pandas: keeping only first row of data in each 60 second bin,df[df.time.diff().fillna(pd.Timedelta('60S')) >= pd.Timedelta('60S')]
redirecting a user in a django template,return HttpResponseRedirect('/path/')
creating unit tests for methods with global variables,unittest.main()
is it possible for beautifulsoup to work in a case-insensitive manner?,"soup.findAll('meta', name=re.compile('^description$', re.I))"
split dictionary of lists into list of dictionaries,"[{'key1': a, 'key2': b} for a, b in zip(d['key1'], d['key2'])]"
reverse each word in a string,""""""" """""".join(w[::-1] for w in s.split())"
log message 'test' on the root logger.,logging.info('test')
removing white space from txt with python,"subbed = re.sub('\\s{2,}', '|', line.strip())"
get the size of list `s`,len(s)
how to upload image file from django admin panel ?,"urlpatterns += static(settings.MEDIA_URL, document_root=settings.MEDIA_ROOT)"
"in python, find out number of differences between two ordered lists","sum(1 for i, j in zip(a, b) if i != j)"
"in python, is there a concise way to use a list comprehension with multiple iterators?","[(i, j) for i in range(10) for j in range(i)]"
"python, numpy; how to insert element at the start of an array","np.insert(my_array, 0, myvalue, axis=1)"
does python have a built in function for string natural sort?,"['elm0', 'elm1', 'Elm2', 'elm9', 'elm10', 'Elm11', 'Elm12', 'elm13']"
pandas dataframe with 2-rows header and export to csv,"df.to_csv(f, index=False, header=False)"
django equivalent of count with group by,Player.objects.values('player_type').order_by().annotate(Count('player_type'))
